,time,pressure,ax,ay,az,gx,gy,gz
0,1643,897.6099853515625,0.2552559971809387,0.20581600069999695,-1.9442729949951172,0.4577769935131073,-0.9002959728240967,1.3275549411773682
1,1699,897.6300048828125,0.2572709918022156,0.2081969976425171,-1.9472019672393799,0.16785100102424622,-0.534072995185852,-0.4577769935131073
2,1700,897.72998046875,0.2572709918022156,0.2081969976425171,-1.9472019672393799,0.16785100102424622,-0.534072995185852,-0.4577769935131073
3,1710,897.6900024414062,0.2565380036830902,0.20288699865341187,-1.9457380771636963,-0.1373330056667328,-0.473035991191864,-0.2746660113334656
4,1720,897.5499877929688,0.2530589997768402,0.2034360021352768,-1.946835994720459,0.6103699803352356,0.04577700048685074,-0.7782210111618042
5,1730,897.6300048828125,0.25836899876594543,0.2059990018606186,-1.9457380771636963,0.411998987197876,-0.5188140273094177,0.8087400197982788
6,1740,897.5999755859375,0.26019999384880066,0.20636600255966187,-1.948301076889038,0.5951099991798401,0.3204439878463745,0.534072995185852
7,1750,897.760009765625,0.2556230127811432,0.20856299996376038,-1.9424419403076172,0.3357029855251312,-0.1525920033454895,-0.473035991191864
8,1760,897.5700073242188,0.25415799021720886,0.20966200530529022,-1.946470022201538,-0.25940701365470886,0.5493329763412476,-0.8850359916687012
9,1770,897.6599731445312,0.25672098994255066,0.2081969976425171,-1.9473860263824463,0.39673998951911926,0.5035549998283386,-1.1291840076446533
10,1780,897.6500244140625,0.25196000933647156,0.2065490037202835,-1.9457380771636963,0.3204439878463745,0.9155550003051758,-1.0071099996566772
11,1790,897.6400146484375,0.2600170075893402,0.20453499257564545,-1.9493999481201172,0.411998987197876,0.9460729956626892,0.19836999475955963
12,1800,897.5800170898438,0.2605670094490051,0.20453499257564545,-1.944638967514038,0.3357029855251312,0.5035549998283386,0.24414800107479095
13,1810,897.5900268554688,0.2598339915275574,0.20270299911499023,-1.9406110048294067,-0.18311099708080292,0.6561470031738281,0.1525920033454895
14,1820,897.6799926757812,0.2603830099105835,0.20526699721813202,-1.946286916732788,1.5411839485168457,0.25940701365470886,1.0681469440460205
15,1830,897.6900024414062,0.2526929974555969,0.2030699998140335,-1.948117971420288,-0.07629600167274475,0.04577700048685074,0.5188140273094177
16,1840,897.5800170898438,0.25452399253845215,0.2047179937362671,-1.9506819248199463,-0.07629600167274475,-0.7019249796867371,0.3204439878463745
17,1850,897.6500244140625,0.2556230127811432,0.2030699998140335,-1.948301076889038,0.18311099708080292,1.266517996788025,-0.21362900733947754
18,1860,897.6500244140625,0.2561720013618469,0.20526699721813202,-1.948667049407959,-0.7324439883232117,-0.3051849901676178,1.3275549411773682
19,1870,897.5900268554688,0.2578200101852417,0.2078309953212738,-1.9473860263824463,-0.1373330056667328,-0.22888800501823425,-0.25940701365470886
20,1880,897.6799926757812,0.2569040060043335,0.20764699578285217,-1.942807912826538,0.38148099184036255,0.9918509721755981,0.3509620130062103
21,1890,897.5999755859375,0.2539750039577484,0.20435099303722382,-1.9396950006484985,0.3204439878463745,-0.12207400053739548,0.1373330056667328
22,1900,897.7000122070312,0.25543901324272156,0.20233699679374695,-1.942807912826538,0.0,0.411998987197876,0.06103700026869774
23,1910,897.5700073242188,0.2591019868850708,0.2047179937362671,-1.9420750141143799,0.3357029855251312,0.6103699803352356,-0.3509620130062103
24,1920,897.6799926757812,0.2574540078639984,0.2065490037202835,-1.946835994720459,1.0376290082931519,0.9155550003051758,0.04577700048685074
25,1930,897.6400146484375,0.2503120005130768,0.20526699721813202,-1.9510480165481567,-0.015258999541401863,-0.06103700026869774,1.1444439888000488
26,1940,897.5399780273438,0.2543410062789917,0.2025199979543686,-1.946286916732788,0.015258999541401863,0.19836999475955963,-0.3204439878463745
